Pol,4200,1,35,0,
Pol,4320,1,36,0,
Pol,4440,1,37,0,
Pol,4800,1,40,0,
Pol,5040,1,42,0,
Pol,5160,1,43,0,
Pol,5400,1,45,0,
Pol,120,1,1,0,
IlloJuan,352,2,3,0,
IKER,978,4,8,2,
IKER,1234,2,10,2,
IKER,1354,1,11,2,
IKER,1490,2,12,3,
Raul,1610,1,13,3,
Enric,1744,3,14,3,
Pol,4200,1,35,0,
Pol,4320,1,36,0,
Pol,4440,1,37,0,
Pol,4800,1,40,0,
Pol,120,1,1,0,
IlloJuan,352,2,3,0,
IKER,978,4,8,2,
IKER,1234,2,10,2,
IKER,1354,1,11,2,
IKER,1490,2,12,3,
Raul,1610,1,13,3,
Enric,1744,3,14,3,
Iker,694,2,6,0,
Pol,480,1,4,0,
Pol,296,1,2,3,
Iker,140,1,1,1,
Oscar,288,2,2,1,
oscar,2028,6,16,4,
kefbhuoqerjllghq,2152,3,17,4,
hola,2272,1,18,4,
hola,2392,1,19,4,
